model,family,recon_source,embedder,tau,total,control_flow,temporal,data_conditions,binds,attr_domains
model5,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model5,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2222,0.2222,0.6667,,0.0,0.0
model5,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.4385,0.6923,0.5,1.0,0.0,0.0
model5,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2,0.3,0.5,,0.0,0.0
model5,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2917,0.6667,0.5,,0.0,0.0
model5,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.225,0.4,0.5,,0.0,0.0
model144,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5813,0.9062,1.0,1.0,0.0,0.0
model144,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0312,0.125,0.0,,0.0,0.0
model144,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,,0.0,0.0
model144,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3962,0.4737,1.0,,0.1111,0.0
model144,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3553,0.4211,1.0,,0.0,0.0
model144,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3194,0.2778,1.0,,0.0,0.0
model144,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2719,0.4211,0.6667,,0.0,0.0
model144,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0312,0.125,0.0,,0.0,0.0
model16,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.5905,0.9524,1.0,1.0,0.0,0.0
model16,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model16,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model16,xai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.6503,0.6364,1.0,1.0,0.6154,0.0
model16,deepseek,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model16,deepseek,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3632,0.1875,0.8,0.0,0.4286,0.4
model16,zai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0
model16,zai,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.2833,0.25,0.5,0.6667,0.0,0.0
model207,anthropic,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.0,0.0,,,0.0,0.0
model207,anthropic,zeroshot,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3095,0.9286,,,0.0,0.0
model207,xai,nisaba,Alibaba-NLP/gte-large-en-v1.5,0.2,0.3095,0.9286,,,0.0,0.0
